symbol,entry_time,exit_time,direction,entry_open,exit_close,bars_held,pnl_points,runup_points,drawdown_points,cum_pnl_points
1d,1999-07-01 00:00:00+00:00,1999-07-06 00:00:00+00:00,-1,5644.0,5726.25,2,-82.25,0.0,100.75,-82.25
1d,1999-07-06 00:00:00+00:00,1999-07-14 00:00:00+00:00,1,5655.0625,5742.25,7,87.1875,116.6875,0.0,4.9375
1d,1999-07-14 00:00:00+00:00,1999-07-15 00:00:00+00:00,-1,5727.9541015625,5775.75,2,-47.7958984375,11.2041015625,60.2958984375,-42.8583984375
1d,1999-07-15 00:00:00+00:00,1999-07-21 00:00:00+00:00,1,5735.10205078125,5694.5,5,-40.60205078125,88.64794921875,58.35205078125,-83.46044921875
1d,1999-07-21 00:00:00+00:00,1999-07-29 00:00:00+00:00,-1,5753.693878173828,5636.875,7,116.81887817382812,153.44387817382812,0.0,33.358428955078125
1d,1999-07-29 00:00:00+00:00,1999-07-30 00:00:00+00:00,1,5648.655373096466,5636.5,2,-12.155373096466064,15.094626903533936,44.905373096466064,21.20305585861206
1d,1999-07-30 00:00:00+00:00,1999-08-09 00:00:00+00:00,-1,5642.765186548233,5563.0,7,79.76518654823303,143.51518654823303,18.984813451766968,100.96824240684509
1d,1999-08-09 00:00:00+00:00,1999-08-10 00:00:00+00:00,1,5574.750237289816,5484.75,2,-90.00023728981614,3.999762710183859,108.00023728981614,10.968005117028952
1d,1999-08-10 00:00:00+00:00,1999-08-12 00:00:00+00:00,-1,5568.875118644908,5583.0,3,-14.12488135509193,102.12511864490807,38.37488135509193,-3.156876238062978
1d,1999-08-12 00:00:00+00:00,1999-08-20 00:00:00+00:00,1,5535.531279661227,5634.625,7,99.09372033877298,162.71872033877298,0.0,95.93684410071
1d,1999-08-20 00:00:00+00:00,1999-08-24 00:00:00+00:00,-1,5649.309082494707,5739.0,3,-89.69091750529333,32.05908249470667,129.94091750529333,6.245926595416677
1d,1999-08-24 00:00:00+00:00,1999-08-30 00:00:00+00:00,1,5664.296020623677,5725.5,5,61.20397937632333,147.95397937632333,0.0,67.44990597174001
1d,1999-08-30 00:00:00+00:00,1999-09-02 00:00:00+00:00,-1,5758.22162628898,5733.125,4,25.096626288979678,90.97162628897968,8.528373711020322,92.54653226071969
1d,1999-09-02 00:00:00+00:00,1999-09-03 00:00:00+00:00,1,5735.090203286122,5791.125,2,56.03479671387777,112.65979671387777,38.34020328612223,148.58132897459745
1d,1999-09-03 00:00:00+00:00,1999-09-07 00:00:00+00:00,-1,5734.107601643062,5850.125,2,-116.01739835693843,3.357601643061571,131.64239835693843,32.563930617659025
1d,1999-09-07 00:00:00+00:00,1999-09-15 00:00:00+00:00,1,5762.616300821531,5831.875,7,69.25869917846921,136.13369917846921,0.0,101.82262979612824
1d,1999-09-15 00:00:00+00:00,1999-09-20 00:00:00+00:00,-1,5843.2811140753365,5878.25,4,-34.96888592466348,96.03111407533652,49.46888592466348,66.85374387146476
1d,1999-09-20 00:00:00+00:00,1999-09-22 00:00:00+00:00,1,5825.863264259417,5824.625,3,-1.23826425941661,66.88673574058339,38.11326425941661,65.61547961204815
1d,1999-09-22 00:00:00+00:00,1999-10-05 00:00:00+00:00,-1,5849.528316064854,5804.125,10,45.40331606485415,169.77831606485415,22.221683935145847,111.0187956769023
1d,1999-10-05 00:00:00+00:00,1999-10-14 00:00:00+00:00,1,5751.622858039189,5787.5,8,35.87714196081106,170.12714196081106,1.872858039188941,146.89593763771336
1d,1999-10-14 00:00:00+00:00,1999-10-21 00:00:00+00:00,-1,5845.138655140931,5782.375,6,62.763655140931405,221.8886551409314,0.0,209.65959277864476
1d,1999-10-21 00:00:00+00:00,1999-10-28 00:00:00+00:00,1,5729.668395473154,5820.125,6,90.4566045268457,139.5816045268457,11.918395473154305,300.11619730549046
1d,1999-10-28 00:00:00+00:00,1999-10-29 00:00:00+00:00,-1,5787.118543608536,5914.375,2,-127.25645639146387,25.36854360853613,189.63145639146387,172.8597409140266
1d,1999-10-29 00:00:00+00:00,1999-12-01 00:00:00+00:00,1,5803.621771804268,6298.75,23,495.12822819573194,666.1282281957319,0.0,667.9879691097585
1d,1999-12-01 00:00:00+00:00,1999-12-03 00:00:00+00:00,-1,6362.755089461034,6453.875,3,-91.119910538966,96.505089461034,160.494910538966,576.8680585707925
1d,1999-12-03 00:00:00+00:00,1999-12-10 00:00:00+00:00,1,6349.251272365258,6484.25,6,134.99872763474195,184.49872763474195,0.0,711.8667862055345
1d,1999-12-10 00:00:00+00:00,1999-12-13 00:00:00+00:00,-1,6477.480508511415,6533.0,2,-55.51949148858512,41.73050851141488,104.26949148858512,656.3472947169494
1d,1999-12-13 00:00:00+00:00,1999-12-16 00:00:00+00:00,1,6480.865254255707,6592.0,4,111.13474574429256,163.38474574429256,50.61525425570744,767.4820404612419
1d,1999-12-16 00:00:00+00:00,1999-12-17 00:00:00+00:00,-1,6508.233156781964,6669.75,2,-161.51684321803623,0.0,211.51684321803623,605.9651972432057
1d,1999-12-17 00:00:00+00:00,2000-01-05 00:00:00+00:00,1,6550.116578390982,6780.875,13,230.75842160901811,606.1334216090181,0.0,836.7236188522238
1d,2000-01-05 00:00:00+00:00,2000-01-11 00:00:00+00:00,-1,6985.238126606053,6925.0,5,60.2381266060529,466.9881266060529,80.5118733939471,896.9617454582767
1d,2000-01-11 00:00:00+00:00,2000-01-13 00:00:00+00:00,1,6830.975820412878,6837.5,3,6.52417958712158,196.27417958712158,93.72582041287842,903.4859250453983
1d,2000-01-13 00:00:00+00:00,2000-01-18 00:00:00+00:00,-1,6841.493955103219,7019.25,3,-177.75604489678062,78.24395510321938,239.25604489678062,725.7298801486177
1d,2000-01-18 00:00:00+00:00,2000-01-25 00:00:00+00:00,1,6905.685988775805,6978.0,6,72.31401122419538,293.5640112241954,37.93598877580462,798.043891372813
1d,2000-01-25 00:00:00+00:00,2000-02-02 00:00:00+00:00,-1,7080.552687149244,7001.625,7,78.92768714924387,448.30268714924387,0.0,876.9715785220569
1d,2000-02-02 00:00:00+00:00,2000-02-15 00:00:00+00:00,1,6873.762541986707,7248.0,10,374.2374580132928,531.4874580132928,0.0,1251.2090365353497
1d,2000-02-15 00:00:00+00:00,2000-02-17 00:00:00+00:00,-1,7271.819116292943,7333.625,3,-61.80588370705664,149.56911629294336,135.43088370705664,1189.403152828293
1d,2000-02-17 00:00:00+00:00,2000-02-23 00:00:00+00:00,1,7277.704779073236,7347.375,4,69.67022092676416,201.54522092676416,150.95477907323584,1259.0733737550572
1d,2000-02-23 00:00:00+00:00,2000-02-24 00:00:00+00:00,-1,7259.384972384154,7481.5,2,-222.11502761584597,36.134972384154025,294.365027615846,1036.9583461392112
1d,2000-02-24 00:00:00+00:00,2000-02-29 00:00:00+00:00,1,7303.379986192077,7492.5,4,189.120013807923,273.870013807923,13.129986192077013,1226.0783599471342
1d,2000-02-29 00:00:00+00:00,2000-03-01 00:00:00+00:00,-1,7428.32874827401,7573.625,2,-145.29625172599026,8.57874827400974,185.92125172599026,1080.782108221144
1d,2000-03-01 00:00:00+00:00,2000-03-09 00:00:00+00:00,1,7460.414374137004,7775.375,7,314.9606258629956,415.8356258629956,0.0,1395.7427340841396
1d,2000-03-09 00:00:00+00:00,2000-03-10 00:00:00+00:00,-1,7669.516240220891,7868.25,2,-198.73375977910928,31.766240220890722,259.7337597791093,1197.0089743050303
1d,2000-03-10 00:00:00+00:00,2000-03-14 00:00:00+00:00,1,7722.445620110446,7626.875,3,-95.57062011044582,206.80437988955418,237.69562011044582,1101.4383541945845
1d,2000-03-14 00:00:00+00:00,2000-03-20 00:00:00+00:00,-1,7787.236405027612,7628.875,5,158.3614050276119,476.4864050276119,19.51359497238809,1259.7997592221964
1d,2000-03-20 00:00:00+00:00,2000-03-22 00:00:00+00:00,1,7595.3819628142255,7785.5,3,190.11803718577448,316.3680371857745,177.63196281422552,1449.9177964079709
1d,2000-03-22 00:00:00+00:00,2000-03-23 00:00:00+00:00,-1,7608.751740703557,7879.875,2,-271.1232592964434,0.0,368.9982592964434,1178.7945371115275
1d,2000-03-23 00:00:00+00:00,2000-03-29 00:00:00+00:00,1,7697.125870351778,7768.5,5,71.37412964822215,389.62412964822215,38.37587035177785,1250.1686667597496
1d,2000-03-29 00:00:00+00:00,2000-04-10 00:00:00+00:00,-1,7933.093804396986,7070.58,9,862.5138043969864,1026.3438043969863,0.0,2112.682471156736
1d,2000-04-10 00:00:00+00:00,2000-04-11 00:00:00+00:00,1,7383.615053923426,7193.875,2,-189.74005392342588,0.0,476.8650539234259,1922.9424172333102
1d,2000-04-11 00:00:00+00:00,2000-04-19 00:00:00+00:00,-1,7227.097526961713,6888.375,7,338.7225269617129,876.3475269617129,76.1524730382871,2261.664944195023
1d,2000-04-19 00:00:00+00:00,2000-04-24 00:00:00+00:00,1,6775.404883233777,6607.0,3,-168.40488323377667,208.34511676622333,349.6548832337767,2093.2600609612464
1d,2000-04-24 00:00:00+00:00,2000-04-26 00:00:00+00:00,-1,6807.319970808444,6810.625,3,-3.3050291915560592,381.56997080844394,129.43002919155606,2089.9550317696903
1d,2000-04-26 00:00:00+00:00,2000-05-04 00:00:00+00:00,1,6719.392492702111,6792.75,7,73.35750729788924,393.35750729788924,99.14249270211076,2163.3125390675796
1d,2000-05-04 00:00:00+00:00,2000-05-08 00:00:00+00:00,-1,6873.0041795734705,6812.5,3,60.50417957347054,157.75417957347054,69.74582042652946,2223.81671864105
1d,2000-05-08 00:00:00+00:00,2000-05-09 00:00:00+00:00,1,6836.251044893368,6707.5,2,-128.7510448933681,59.49895510663191,213.0010448933681,2095.065673747682
1d,2000-05-09 00:00:00+00:00,2000-05-15 00:00:00+00:00,-1,6824.375522446684,6668.25,5,156.12552244668404,427.62552244668404,0.0,2251.191196194366
1d,2000-05-15 00:00:00+00:00,2000-05-19 00:00:00+00:00,1,6614.101595152918,6572.375,5,-41.72659515291798,272.148404847082,145.35159515291798,2209.464601041448
1d,2000-05-19 00:00:00+00:00,2000-05-26 00:00:00+00:00,-1,6750.350099697058,6323.25,6,427.1000996970579,645.1000996970579,0.0,2636.564700738506
1d,2000-05-26 00:00:00+00:00,2000-05-30 00:00:00+00:00,1,6370.301096865533,6481.125,2,110.8239031344674,272.4489031344674,125.5510968655326,2747.3886038729734
1d,2000-05-30 00:00:00+00:00,2000-05-31 00:00:00+00:00,-1,6346.775548432766,6590.125,2,-243.3494515672337,21.0255484327663,329.9744515672337,2504.0391523057397
1d,2000-05-31 00:00:00+00:00,2000-06-13 00:00:00+00:00,1,6413.950274216383,6901.5,10,487.54972578361685,628.7997257836169,0.0,2991.5888780893565
1d,2000-06-13 00:00:00+00:00,2000-06-15 00:00:00+00:00,-1,6926.033350144954,6931.75,3,-5.716649855045944,138.78335014495406,115.21664985504594,2985.8722282343106
1d,2000-06-15 00:00:00+00:00,2000-06-23 00:00:00+00:00,1,6931.008337536238,6942.5,7,11.491662463761713,269.7416624637617,69.75833753623829,2997.3638906980723
1d,2000-06-23 00:00:00+00:00,2000-07-05 00:00:00+00:00,-1,7094.500130274004,6933.5,8,161.00013027400382,273.2501302740038,0.0,3158.364020972076
1d,2000-07-05 00:00:00+00:00,2000-07-06 00:00:00+00:00,1,6946.9355478927655,6903.875,2,-43.0605478927655,103.8144521072345,151.6855478927655,3115.3034730793106
1d,2000-07-06 00:00:00+00:00,2000-07-10 00:00:00+00:00,-1,6940.217773946382,6992.0,3,-51.782226053617705,144.9677739463823,141.5322260536177,3063.521247025693
1d,2000-07-10 00:00:00+00:00,2000-07-12 00:00:00+00:00,1,6967.523193486595,7018.375,3,50.85180651340488,133.72680651340488,72.27319348659512,3114.373053539098
1d,2000-07-12 00:00:00+00:00,2000-07-13 00:00:00+00:00,-1,6967.005798371649,7119.375,2,-152.36920162835122,17.75579837164878,218.24420162835122,2962.0038519107466
1d,2000-07-13 00:00:00+00:00,2000-07-20 00:00:00+00:00,1,6992.690399185824,7125.375,6,132.6846008141756,285.0596008141756,0.0,3094.688452724922
1d,2000-07-20 00:00:00+00:00,2000-08-07 00:00:00+00:00,-1,7146.572356224557,6827.625,13,318.94735622455664,633.3223562245566,52.67764377544336,3413.635808949479
1d,2000-08-07 00:00:00+00:00,2000-08-11 00:00:00+00:00,1,6756.405260585016,6769.5,5,13.09473941498436,195.84473941498436,70.65526058501564,3426.730548364463
1d,2000-08-11 00:00:00+00:00,2000-08-15 00:00:00+00:00,-1,6831.6581412865635,6890.75,3,-59.09185871343652,145.90814128656348,98.09185871343652,3367.6386896510267
1d,2000-08-15 00:00:00+00:00,2000-09-07 00:00:00+00:00,1,6821.914535321641,7048.875,17,226.96046467835913,507.33546467835913,0.0,3594.599154329386
1d,2000-09-07 00:00:00+00:00,2000-09-15 00:00:00+00:00,-1,7137.193903572621,6843.125,7,294.0689035726209,386.4439035726209,0.0,3888.6680579020067
1d,2000-09-15 00:00:00+00:00,2000-09-18 00:00:00+00:00,1,6889.883889118322,6771.75,2,-118.13388911832226,33.36611088167774,206.63388911832226,3770.5341687836844
1d,2000-09-18 00:00:00+00:00,2000-09-21 00:00:00+00:00,-1,6866.504444559161,6890.0,4,-23.49555544083887,183.25444455916113,88.74555544083887,3747.0386133428456
1d,2000-09-21 00:00:00+00:00,2000-09-25 00:00:00+00:00,1,6854.688055569895,6816.625,3,-38.06305556989537,100.56194443010463,158.43805556989537,3708.97555777295
1d,2000-09-25 00:00:00+00:00,2000-09-29 00:00:00+00:00,-1,6832.297013892474,6756.625,5,75.67201389247384,170.54701389247384,78.95298610752616,3784.647571665424
1d,2000-09-29 00:00:00+00:00,2000-10-02 00:00:00+00:00,1,6765.0107508682795,6658.625,2,-106.3857508682795,58.7392491317205,191.7607508682795,3678.2618207971445
1d,2000-10-02 00:00:00+00:00,2000-10-17 00:00:00+00:00,-1,6760.81787543414,6333.125,12,427.69287543413975,658.0678754341398,0.0,4105.954696231284
1d,2000-10-17 00:00:00+00:00,2000-10-19 00:00:00+00:00,1,6311.96896624777,6394.75,3,82.78103375222963,216.28103375222963,205.71896624777037,4188.735729983514
1d,2000-10-19 00:00:00+00:00,2000-10-20 00:00:00+00:00,-1,6286.710991561942,6557.25,2,-270.53900843805786,25.460991561942137,350.03900843805786,3918.196721545456
1d,2000-10-20 00:00:00+00:00,2000-10-25 00:00:00+00:00,1,6340.730495780971,6323.75,4,-16.98049578097107,304.01950421902893,151.48049578097107,3901.216225764485
1d,2000-10-25 00:00:00+00:00,2000-11-01 00:00:00+00:00,-1,6504.810061972621,6360.25,6,144.56006197262104,445.06006197262104,0.0,4045.776287737106
1d,2000-11-01 00:00:00+00:00,2000-11-08 00:00:00+00:00,1,6282.728439436644,6281.625,6,-1.103439436644294,198.5215605633557,149.9784394366443,4044.6728483004617
1d,2000-11-08 00:00:00+00:00,2000-11-16 00:00:00+00:00,-1,6398.343076232395,6107.375,7,290.9680762323951,562.0930762323951,58.406923767604894,4335.640924532857
