symbol,entry_time,exit_time,direction,entry_open,exit_close,bars_held,pnl_points,runup_points,drawdown_points,cum_pnl_points
4h,2012-01-03 15:00:00+00:00,2012-01-04 03:00:00+00:00,1,5030.5,5020.75,4,-9.75,3.25,12.0,-9.75
4h,2012-01-04 03:00:00+00:00,2012-01-04 11:00:00+00:00,-1,5023.5,5020.75,3,2.75,10.0,10.0,-7.0
4h,2012-01-04 11:00:00+00:00,2012-01-04 15:00:00+00:00,1,5025.25,5034.25,2,9.0,10.5,14.0,2.0
4h,2012-01-04 15:00:00+00:00,2012-01-04 19:00:00+00:00,-1,5020.5,5037.25,2,-16.75,9.25,17.75,-14.75
4h,2012-01-04 19:00:00+00:00,2012-01-05 11:00:00+00:00,1,5034.5,5029.0,5,-5.5,5.0,16.5,-20.25
4h,2012-01-05 11:00:00+00:00,2012-01-05 19:00:00+00:00,-1,5019.0,5049.75,3,-30.75,0.25,37.25,-51.0
4h,2012-01-05 19:00:00+00:00,2012-01-06 07:00:00+00:00,1,5053.0,5052.5,4,-0.5,2.5,11.75,-51.5
4h,2012-01-06 07:00:00+00:00,2012-01-06 11:00:00+00:00,-1,5046.75,5049.0,2,-2.25,1.25,15.5,-53.75
4h,2012-01-06 11:00:00+00:00,2012-01-09 07:00:00+00:00,1,5052.5,5064.25,6,11.75,17.0,6.25,-42.0
4h,2012-01-09 07:00:00+00:00,2012-01-09 11:00:00+00:00,-1,5055.75,5061.5,2,-5.75,0.0,16.5,-47.75
4h,2012-01-09 11:00:00+00:00,2012-01-09 19:00:00+00:00,1,5064.0,5056.5,3,-7.5,8.25,16.75,-55.25
4h,2012-01-09 19:00:00+00:00,2012-01-10 03:00:00+00:00,-1,5058.0,5068.25,3,-10.25,3.75,11.5,-65.5
4h,2012-01-10 03:00:00+00:00,2012-01-10 23:00:00+00:00,1,5064.5,5062.5,6,-2.0,22.5,3.25,-67.5
4h,2012-01-10 23:00:00+00:00,2012-01-11 11:00:00+00:00,-1,5066.5,5065.75,4,0.75,5.25,11.0,-66.75
4h,2012-01-11 11:00:00+00:00,2012-01-12 19:00:00+00:00,1,5070.75,5088.25,9,17.5,21.0,9.5,-49.25
4h,2012-01-12 19:00:00+00:00,2012-01-12 23:00:00+00:00,-1,5082.5,5088.5,2,-6.0,2.25,10.25,-55.25
4h,2012-01-12 23:00:00+00:00,2012-01-13 15:00:00+00:00,1,5089.0,5069.5,5,-19.5,6.5,31.75,-74.75
